team_name,game_count,fg_made,fg_attempted,fg_percentage,fg_effective_percentage,fg2_made,fg2_attempted,fg2_percentage,fg3_made,fg3_attempted,fg3_percentage,defender_distance,fg_proportion,fg2_proportion,fg3_proportion,team_id
LA Clippers,29,6.9,15.0,46.3,59.1,3.1,5.7,54.2,3.8,9.2,41.4,Over 6,0.46299999999999997,0.542,0.414,13
Los Angeles Lakers,31,6.2,14.4,43.0,53.3,3.3,5.9,54.9,2.9,8.4,34.7,Over 6,0.43,0.5489999999999999,0.34700000000000003,14
Memphis Grizzlies,28,6.8,17.0,39.8,50.6,3.1,6.6,46.6,3.7,10.4,35.4,Over 6,0.39799999999999996,0.466,0.354,15
Miami Heat,29,6.3,15.6,40.6,52.5,2.6,5.5,47.5,3.7,10.1,36.9,Over 6,0.406,0.475,0.369,16
Milwaukee Bucks,26,8.0,17.3,46.1,59.7,3.3,5.3,61.2,4.7,11.9,39.4,Over 6,0.461,0.612,0.39399999999999996,17
Minnesota Timberwolves,27,7.9,18.1,43.6,56.3,3.3,6.4,51.7,4.6,11.6,39.2,Over 6,0.436,0.517,0.392,18
New Orleans Pelicans,30,7.6,17.0,44.5,56.5,3.5,6.1,57.1,4.1,10.9,37.4,Over 6,0.445,0.5710000000000001,0.374,19
New York Knicks,28,7.1,15.5,46.0,59.6,2.9,5.2,55.9,4.2,10.3,41.0,Over 6,0.46,0.5589999999999999,0.41,20
Oklahoma City Thunder,28,6.4,16.0,40.0,53.2,2.1,3.9,55.6,4.3,12.1,35.0,Over 6,0.4,0.556,0.35,21
Orlando Magic,29,6.5,16.2,40.4,52.1,2.8,5.8,47.7,3.8,10.4,36.3,Over 6,0.40399999999999997,0.47700000000000004,0.363,22
Philadelphia 76ers,28,7.5,17.7,42.1,57.6,2.0,4.1,48.7,5.5,13.6,40.2,Over 6,0.42100000000000004,0.48700000000000004,0.402,23
Phoenix Suns,28,6.7,16.2,41.2,53.7,2.6,5.1,50.7,4.1,11.1,36.8,Over 6,0.41200000000000003,0.507,0.368,24
Portland Trail Blazers,29,6.9,16.2,42.8,56.2,2.6,4.3,60.5,4.3,11.9,36.4,Over 6,0.428,0.605,0.364,25
Sacramento Kings,28,7.0,17.0,41.1,54.0,2.6,5.1,51.0,4.4,11.9,36.8,Over 6,0.41100000000000003,0.51,0.368,26
San Antonio Spurs,28,7.8,17.2,45.4,58.0,3.5,7.7,45.6,4.3,9.5,45.3,Over 6,0.45399999999999996,0.456,0.45299999999999996,27
Toronto Raptors,26,6.2,13.2,47.1,61.6,2.4,4.5,52.5,3.9,8.7,44.2,Over 6,0.47100000000000003,0.525,0.442,28
Utah Jazz,28,6.5,15.7,41.7,54.9,2.4,4.2,57.3,4.1,11.5,36.0,Over 6,0.41700000000000004,0.573,0.36,29
Washington Wizards,27,6.8,14.9,46.0,58.1,3.3,5.6,57.9,3.6,9.3,38.8,Over 6,0.46,0.579,0.38799999999999996,30
